,id,surface,pos,len
161,6032,['放'],"['動詞,自立,*,*']",1
162,6035,['千'],"['名詞,数,*,*']",1
163,6050,['ほ'],"['動詞,自立,*,*']",1
164,6059,['う'],"['感動詞,*,*,*']",1
165,6105,['置'],"['名詞,固有名詞,組織,*']",1
166,6113,['段'],"['名詞,一般,*,*']",1
167,6168,['▁▁▁▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
168,6170,['正'],"['名詞,固有名詞,人名,名']",1
169,6189,['▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
170,6238,['よ'],"['助詞,終助詞,*,*']",1
171,6257,['ォ'],"['名詞,固有名詞,組織,*']",1
172,6297,['断'],"['名詞,一般,*,*']",1
173,6313,['格'],"['名詞,一般,*,*']",1
174,6335,['京'],"['名詞,固有名詞,人名,姓']",1
175,6336,['♭'],"['名詞,サ変接続,*,*']",1
176,6395,['被'],"['接頭詞,名詞接続,*,*']",1
177,6435,['と'],"['フィラー,*,*,*']",1
178,6448,['Ο'],"['記号,アルファベット,*,*']",1
179,6509,['川'],"['名詞,一般,*,*']",1
180,6619,['包'],"['名詞,一般,*,*']",1
181,6698,['聖'],"['名詞,固有名詞,人名,名']",1
182,6749,['密'],"['名詞,一般,*,*']",1
183,6883,['物'],"['名詞,一般,*,*']",1
184,6897,['貴'],"['形容詞,自立,*,*']",1
185,6987,['色'],"['名詞,一般,*,*']",1
186,7028,['重'],"['形容詞,自立,*,*']",1
187,7039,['操'],"['名詞,一般,*,*']",1
188,7057,['必'],"['名詞,固有名詞,組織,*']",1
189,7089,['甲'],"['名詞,一般,*,*']",1
190,7102,[],[],0
191,7110,['ミ'],"['名詞,一般,*,*']",1
192,7115,['ザ'],"['名詞,固有名詞,組織,*']",1
193,7125,['国'],"['名詞,一般,*,*']",1
194,7213,['研'],"['名詞,固有名詞,人名,姓']",1
195,7252,['像'],"['名詞,一般,*,*']",1
196,7311,['…'],"['記号,一般,*,*']",1
197,7326,['っ'],"['動詞,非自立,*,*']",1
198,7335,['多'],"['形容詞,自立,*,*']",1
199,7366,['始'],"['名詞,固有名詞,人名,名']",1
200,7376,['不'],"['接頭詞,名詞接続,*,*']",1
201,7434,['送'],"['動詞,自立,*,*']",1
202,7440,['ι'],"['記号,アルファベット,*,*']",1
203,7534,['看'],"['動詞,自立,*,*']",1
204,7644,['ち'],"['動詞,自立,*,*']",1
205,7660,['η'],"['記号,アルファベット,*,*']",1
206,7666,['ペ'],"['名詞,一般,*,*']",1
207,7692,['十'],"['名詞,数,*,*']",1
208,7713,['》'],"['記号,括弧閉,*,*']",1
209,7795,['功'],"['名詞,固有名詞,人名,名']",1
210,7852,['ゴ'],"['名詞,固有名詞,組織,*']",1
211,7898,['⊆'],"['名詞,サ変接続,*,*']",1
212,7906,['存'],"['名詞,サ変接続,*,*']",1
213,7918,['双'],"['名詞,一般,*,*']",1
214,7929,['后'],"['名詞,一般,*,*']",1
215,7931,['起'],"['名詞,固有名詞,地域,一般']",1
216,7936,['配'],"['名詞,サ変接続,*,*']",1
217,7939,['址'],"['名詞,接尾,一般,*']",1
218,8110,['÷'],"['記号,一般,*,*']",1
219,8112,['文'],"['名詞,一般,*,*']",1
220,8189,['ゃ'],"['名詞,一般,*,*']",1
221,8325,['▁##'],"['名詞,サ変接続,*,*']",1
222,8460,['我'],"['名詞,一般,*,*']",1
223,8497,['”'],"['記号,括弧閉,*,*']",1
224,8536,['因'],"['名詞,サ変接続,*,*']",1
225,8550,['會'],"['名詞,固有名詞,組織,*']",1
226,8572,['親'],"['名詞,一般,*,*']",1
227,8645,['在'],"['名詞,一般,*,*']",1
228,8741,['全'],"['名詞,固有名詞,人名,姓']",1
229,8764,['拳'],"['名詞,一般,*,*']",1
230,8813,['長'],"['形容詞,自立,*,*']",1
231,8868,['《'],"['記号,括弧開,*,*']",1
232,8901,['房'],"['名詞,一般,*,*']",1
233,8928,['直'],"['名詞,固有名詞,人名,名']",1
234,8952,['弘'],"['名詞,固有名詞,人名,名']",1
235,9102,['家'],"['名詞,一般,*,*']",1
236,9112,['┴'],"['名詞,サ変接続,*,*']",1
237,9120,['∨'],"['名詞,サ変接続,*,*']",1
238,9140,['失'],"['名詞,一般,*,*']",1
239,9207,['せ'],"['動詞,自立,*,*']",1
240,9221,['ぐ'],"['名詞,一般,*,*']",1
241,9225,['チ'],"['名詞,固有名詞,組織,*']",1
242,9263,['望'],"['名詞,一般,*,*']",1
243,9280,['赤'],"['名詞,一般,*,*']",1
244,9304,['ω'],"['記号,アルファベット,*,*']",1
245,9318,['使'],"['名詞,接尾,一般,*']",1
